textid	anger	disgust	fear	joy	sad	surprise
1	0.119375	0.130133	0.0816491	0.122613	0.254018	0.292212
2	0.0906246	0.121014	0.125232	0.185465	0.238287	0.239379
3	1.93E-05	6.62E-05	0.0364981	0.404659	0.187627	0.371129
4	0.0807856	0.0961574	0.0820379	0.314309	0.0895687	0.337141
5	0.0849602	0.068385	0.0938573	0.227972	0.227147	0.297679
6	0.129192	0.0554749	0.231221	0.0192717	0.433256	0.131585
7	0.0223504	0.0150016	0.176416	0.314913	0.105166	0.366152
8	0.108122	0.0328703	0.304231	0.0968942	0.344094	0.113788
9	0.0345278	0.151034	0.0213305	0.166498	0.0264007	0.60021
10	0.107478	0.0923772	0.151074	0.273969	0.113316	0.261786
11	0.115415	0.0452555	0.24872	0.209313	0.260403	0.120893
12	0.0690384	0.0465258	0.169124	0.298678	0.103739	0.312894
13	0.120078	0.0736158	0.233602	0.23921	0.141641	0.191854
14	0.130404	0.080114	0.158249	0.213225	0.231485	0.186523
15	0.148808	0.151092	0.343469	0.0883953	0.182149	0.0860863
16	0.154705	0.118228	0.322987	0.111839	0.155057	0.137184
17	0.0540069	0.0902761	0.130067	0.406874	0.13403	0.184746
18	0.130293	0.0254844	0.166007	0.0870289	0.263063	0.328123
19	0.0417284	0.0136272	0.134487	0.312555	0.1914	0.306202
20	0.122291	0.0933168	0.21117	0.277143	0.138041	0.158039
21	0.172852	0.0465255	0.14239	0.372071	0.123992	0.14217
22	0.104001	0.0386609	0.103157	0.252962	0.132769	0.36845
23	0.11886	0.0393921	0.204929	0.125552	0.311498	0.199768
24	0.1106	0.0281333	0.0984	0.0855791	0.180924	0.496364
25	0.0926088	0.0705677	0.241805	0.261083	0.169826	0.16411
26	0.000164477	0.0412307	0.0675725	0.000266589	0.535907	0.354859
27	0.0825566	0.0726363	0.122945	0.303425	0.182735	0.235703
28	0.0406422	0.0430677	0.168856	0.20313	0.130697	0.413606
29	0.163884	0.114828	0.232899	0.105412	0.184433	0.198546
30	0.092224	0.0835525	0.207996	0.215611	0.221102	0.179514
31	0.0517549	0.030854	0.0635256	0.538865	0.0732158	0.241785
32	0.0964913	0.0812073	0.246572	0.196579	0.190753	0.188398
33	0.07288	0.0370482	0.0998529	0.271995	0.266538	0.251685
34	0.124956	0.0315622	0.343198	0.23413	0.101518	0.164635
35	2.73E-05	0.0295941	0.0253939	0.622758	0.0514307	0.270796
36	0.0606939	0.00901861	0.0516724	0.53606	0.160623	0.181932
37	0.0855349	0.0282399	0.285785	0.11319	0.180741	0.306509
38	0.0870588	0.116777	0.204898	0.206535	0.105065	0.279666
39	0.265653	0.162134	0.105349	0.0763446	0.0781737	0.312346
40	0.168548	0.10196	0.276188	0.13809	0.173786	0.141427
41	0.0235646	0.00727909	0.137672	0.262482	0.178517	0.390485
42	0.103448	0.0579405	0.350722	0.165773	0.139731	0.182385
43	0.0340789	0.0413482	0.0601112	0.388527	0.153856	0.322079
44	0.162265	0.181736	0.104532	0.20762	0.158207	0.18564
45	0.0403285	0.0469532	0.130804	0.0302913	0.530572	0.221051
46	0.0528464	0.028498	0.0988632	0.451975	0.0714831	0.296335
47	0.0515627	0.0731972	0.0773035	0.326387	0.131565	0.339984
48	0.00186521	0.0227794	0.0262496	0.562319	0.0384504	0.348337
49	0.116727	0.0801569	0.266429	0.0612638	0.343869	0.131553
50	0.202181	0.114307	0.286183	0.114415	0.200473	0.0824409
51	0.112551	0.0625763	0.0988123	0.344844	0.117017	0.2642
52	0.0551631	0.0150064	0.172619	0.420375	0.120714	0.216123
53	0.0181507	0.15867	0.0475859	0.155028	0.048213	0.572352
54	0.113298	0.0340519	0.0649363	0.388305	0.0553105	0.344098
55	0.0412916	0.000259723	0.0824729	0.0687515	0.765436	0.0417879
56	0.0915113	0.133673	0.0270639	0.278032	0.200728	0.268992
57	0.139977	0.109999	0.187347	0.13742	0.191304	0.233952
58	0.0622315	0.0463349	0.100702	0.28888	0.136044	0.365807
59	0.0382255	0.0195832	0.207991	0.157177	0.166856	0.410168
60	0.146865	0.11549	0.182521	0.125686	0.216081	0.213357
61	0.118772	0.0439517	0.162145	0.319656	0.144215	0.211261
62	0.0139112	0.00620958	0.185539	0.401115	0.220246	0.17298
63	0.0404768	0.0467381	0.0246175	0.497628	0.104018	0.286522
64	0.132967	0.0786631	0.280508	0.177976	0.0955569	0.234329
65	0.14776	0.103768	0.140801	0.113499	0.219852	0.274321
66	0.0813579	0.0343615	0.279441	0.304284	0.143073	0.157483
67	0.0188643	0.023752	0.0130381	0.564074	0.0888181	0.291454
68	0.0323789	0.0210796	0.14903	0.295065	0.146829	0.355618
69	0.0495314	0.0344569	0.220399	0.128934	0.424264	0.142415
70	0.0568553	0.0523254	0.0596349	0.224027	0.10287	0.504287
71	0.0756481	0.0759648	0.126151	0.333144	0.184198	0.204894
72	0.165998	0.108259	0.0525926	0.294076	0.172526	0.206548
73	0.115008	0.0708818	0.282805	0.0509563	0.376542	0.103808
74	0.0710213	0.0316506	0.186452	0.241622	0.311487	0.157767
75	0.185793	0.0484962	0.318299	0.0767213	0.242572	0.128119
76	0.0766344	0.0591333	0.107555	0.286282	0.179449	0.290947
77	0.000363327	0.000323421	0.140962	0.000521071	0.632133	0.225697
78	5.27E-05	8.80E-05	0.0121176	0.865098	5.90E-05	0.122585
79	0.0961557	0.071602	0.146234	0.246703	0.207131	0.232174
80	0.0646265	0.0328878	0.131914	0.276234	0.278967	0.215372
81	0.135401	0.0782586	0.16645	0.250283	0.217765	0.151842
82	0.151606	0.055636	0.20378	0.0409001	0.375466	0.172612
83	0.100702	0.0407546	0.183846	0.335456	0.0870171	0.252224
84	0.0995057	0.0526031	0.20754	0.121301	0.297317	0.221734
85	0.0596888	0.0589178	0.262031	0.00323031	0.343297	0.272836
86	0.038532	0.0082325	0.352271	0.208771	0.0751911	0.317003
87	0.265259	0.0843476	0.238808	0.0299907	0.3231	0.0584943
88	0.0515371	0.0395117	0.0980486	0.334067	0.14968	0.327155
89	0.0819402	0.0473723	0.108079	0.307613	0.210257	0.244739
90	0.104324	0.0434248	0.121679	0.193786	0.472042	0.0647444
91	0.0236931	0.0123017	0.145855	0.390516	0.100711	0.326924
92	0.186757	0.119444	0.330044	0.055291	0.24567	0.0627934
93	0.141929	0.0726259	0.183102	0.291986	0.148613	0.161744
94	0.129052	0.0624232	0.27341	0.211086	0.099285	0.224744
95	0.0541354	0.0492533	0.256483	0.247514	0.243976	0.148639
96	0.0368238	0.0433259	0.12273	0.46822	0.205888	0.123012
97	0.0116541	0.0142727	0.120748	0.563084	0.0681219	0.222119
98	0.071994	0.0462603	0.10134	0.0306761	0.523289	0.226441
99	0.0294265	0.0185187	0.101397	0.342009	0.0800721	0.428577
100	0.0266936	0.0138606	0.0446856	0.665149	0.0510481	0.198563
101	0.0842391	0.0176417	0.225237	0.223704	0.278153	0.171025
102	0.0197947	0.0153809	0.0299689	0.615626	0.0621133	0.257116
103	0.150335	0.0715545	0.198905	0.0257667	0.397087	0.156352
104	0.0578878	0.0212461	0.116809	0.415702	0.123506	0.26485
105	0.18975	0.137521	0.44812	0.0206887	0.184965	0.0189552
106	0.111628	0.0739997	0.226274	0.0923241	0.360829	0.134945
107	0.12663	0.0572258	0.197995	0.279441	0.193519	0.14519
108	0.0492733	0.0341189	0.123825	0.316774	0.0555688	0.42044
109	0.000373985	0.000332909	0.000606586	0.81339	0.000263251	0.185034
110	0.0312264	0	0.183199	0.402178	0.21865	0.164747
111	0.0624758	0.117187	0.0953377	0.306552	0.174202	0.244246
112	0.117197	0.118644	0.186217	0.1867	0.1852	0.206042
113	0.0550796	0.0282382	0.18614	0.264933	0.187721	0.277888
114	0.199882	0.0835027	0.320323	0.0624008	0.260791	0.0731009
115	0.138639	0.0993533	0.371057	0.132875	0.158601	0.0994742
116	0.0317728	0.020506	0.0847238	0.46215	0.115165	0.285682
117	0.129337	0.0602546	0.282401	0.148329	0.2343	0.145378
118	0.0507046	0.0236411	0.2155	0.267598	0.102717	0.33984
119	0.181273	0.044777	0.125957	0.197161	0.107495	0.343336
120	0.0372809	0.0260383	0.350201	0.110529	0.259832	0.216118
121	0.0454245	0.0145943	0.113443	0.394911	0.0560798	0.375547
122	0.0841425	0.0687228	0.144423	0.262093	0.138509	0.302109
123	0.0369031	0.00687019	0.0927929	0.578145	0.12267	0.162619
124	0.0305296	0.00636072	0.465945	0.000446587	0.477726	0.0189919
125	0.0676568	0.0915338	0.0955324	0.265078	0.189006	0.291193
126	0.067752	0.150851	0.117732	0.295312	0.192614	0.175739
127	0.115245	0.0294626	0.121288	0.312864	0.154457	0.266683
128	0.0744631	0.062857	0.267057	0.187375	0.110682	0.297566
129	0.196816	0.0673952	0.200944	0.241047	0.13721	0.156588
130	0.0353456	0.00480955	0.119537	0.286962	0.101942	0.451403
131	0.081957	0.0548327	0.0772827	0.461012	0.132795	0.19212
132	0.000357415	0.000318159	0.000579709	0.783867	0.000251587	0.214626
133	0.231736	0.0745977	0.286121	0.0555622	0.300151	0.0518323
134	0.0883092	0.0732462	0.236211	0.0152506	0.399087	0.187896
135	0.022868	0.00270394	0.221128	0.325285	0.16592	0.262095
136	0.0422049	0.0520336	0.150537	0.367424	0.135347	0.252453
137	0.0987044	0.111417	0.179594	0.167502	0.128836	0.313947
138	0.0902429	0.0416872	0.141557	0.230746	0.180584	0.315183
139	0.123835	0.0585942	0.165402	0.314441	0.168565	0.169163
140	0.10003	0.0447941	0.15708	0.334118	0.142684	0.221294
141	0.0342613	0.0716561	0.0318562	0.534774	0.127093	0.20036
142	0.118908	0.0235234	0.0922364	0.18437	0.409723	0.171239
143	0.0252951	0.0424893	0.0660815	0.556703	0.0693422	0.240089
144	0.0916221	0.0321069	0.17306	0.262751	0.24266	0.1978
145	0.0702413	0.0609005	0.217649	0.134839	0.276037	0.240333
146	0.117656	0.0911465	0.124415	0.241319	0.242794	0.182669
147	0.0653227	0.0805985	0.23312	0.165711	0.152043	0.303205
148	0.0407148	0.0258188	0.174077	0.249726	0.263674	0.245989
149	0.0405882	0.0292671	0.198458	0.20661	0.207801	0.317275
150	0.0443196	0.0202284	0.172214	0.114896	0.481641	0.1667
151	0.0530055	0.0481366	0.24792	0.23559	0.187598	0.22775
152	0.0961557	0.071602	0.146234	0.246703	0.207131	0.232174
153	0.0624213	0.0145112	0.273764	0.375495	0.11214	0.161669
154	0.000122789	0.0735169	0.00301255	0.32302	0.00827636	0.592051
155	0.0382684	0.0753376	0.0848788	0.307474	0.114481	0.379559
156	0.0507388	0.0435749	0.15917	0.307777	0.134341	0.304398
157	0.05797	0.0246319	0.205817	0.317338	0.134732	0.259511
158	0.106671	0.0516135	0.108142	0.301577	0.143404	0.288593
159	0.0671199	0.014606	0.127116	0.364084	0.158134	0.26894
160	0.0403263	0.0307636	0.274813	0.22735	0.217257	0.209491
161	0.0551399	0.0196769	0.19221	0.390409	0.2046	0.137964
162	0.148094	0.105696	0.191594	0.0920049	0.285643	0.176968
163	0.214218	0.133405	0.131461	0.104467	0.147585	0.268863
164	0.140126	0.13497	0.261836	0.133226	0.281376	0.048464
165	0.167732	0.126015	0.199821	0.130185	0.175693	0.200554
166	0.0816975	0.078075	0.160152	0.308464	0.180564	0.191047
167	0.170916	0.0668336	0.195751	0.193959	0.168217	0.204323
168	0.0653826	0.0369556	0.210552	0.207595	0.247222	0.232292
169	0.125333	0.0598154	0.18519	0.175087	0.346777	0.107797
170	0.0276624	0.0125766	0.0583786	0.584347	0.173413	0.143622
171	0.146467	0.0909646	0.270905	0.128263	0.214809	0.148592
172	0.0992636	0.0563989	0.0917266	0.339156	0.10079	0.312665
173	0.0809285	0.0307368	0.263831	0.256337	0.213342	0.154825
174	0.0122646	0.00434403	0.150734	0.393643	0.146505	0.29251
175	0.0728586	0.0134926	0.254202	0.0666489	0.459733	0.133064
176	0.0700032	0.0741575	0.10463	0.31107	0.175498	0.264642
177	0.111532	0.0800842	0.458036	0.000281875	0.321296	0.0287704
178	0.145907	0.048603	0.261556	0.267028	0.0908497	0.186056
179	0.0659703	0.0149631	0.150694	0.346254	0.181629	0.24049
180	0.0602762	0.107291	0.206302	0.17586	0.136819	0.313453
181	0.0535416	0.0239853	0.411791	0.150864	0.260925	0.0988928
182	0.0501871	0.0359441	0.0857702	0.120391	0.26422	0.443487
183	0.0807426	0.031744	0.156162	0.283993	0.289145	0.158213
184	nan	nan	nan	nan	nan	nan
185	0.034013	0.0504104	0.0583917	0.300892	0.199111	0.357182
186	0.108949	0.0917964	0.165451	0.304765	0.170431	0.158608
187	0.0154846	0.00600529	0.0448756	0.55254	0.0715021	0.309592
188	0.078752	0.084651	0.173062	0.302447	0.147519	0.213568
189	0.0129786	0	0.0683693	0.520579	0.103817	0.294256
190	nan	nan	nan	nan	nan	nan
191	0.0977895	0.011995	0.251361	0.191394	0.222104	0.225356
192	0.184833	0.0812114	0.116466	0.28151	0.116085	0.219895
193	0.0505656	0.035791	0.143284	0.331981	0.0799777	0.358401
194	0.0645232	0.0444772	0.190793	0.179889	0.221436	0.298882
195	0.126574	0.0331166	0.250533	0.3267	0.0966493	0.166427
196	0.134341	0.0709907	0.149427	0.10606	0.255776	0.283406
197	0.0825869	0.0231302	0.304348	0.0361722	0.461228	0.0925349
198	0.0626335	0.0340119	0.158655	0.219027	0.312947	0.212726
199	0.0997063	0.0709352	0.423696	0.0571185	0.222831	0.125713
200	0.178952	0.122676	0.252698	0.0433518	0.265147	0.137174
201	0.0579109	0.0143558	0.0733895	0.460297	0.0667218	0.327325
202	0.0779088	0.0516458	0.184417	0.130182	0.226769	0.329078
203	0.118417	0.0522849	0.205482	0.196587	0.162402	0.264827
204	0.000177518	0.0486023	0.120975	0.036722	0.0873289	0.706194
205	0.038915	0.0289693	0.156493	0.364666	0.118918	0.292038
206	0.0043019	0.0166454	0.0952863	0.18765	0.353058	0.343058
207	0.0777386	0.042049	0.290949	0.238104	0.144543	0.206616
208	0.151687	0.0500424	0.078408	0.398771	0.0579629	0.263128
209	0.0642103	0.0227923	0.178206	0.405743	0.104387	0.224661
210	0.201345	0.0556768	0.280919	0.184431	0.139102	0.138527
211	0.197293	0.0666407	0.251851	0.189697	0.150363	0.144156
212	0.167249	0.112225	0.220025	0.196858	0.168849	0.134794
213	0.0780602	0.0515637	0.412394	0.1217	0.219913	0.11637
214	0.173566	0.185875	0.137168	0.0527528	0.378874	0.0717651
215	0.0335474	0.054353	0.12817	0.36805	0.222899	0.19298
216	0.0728852	0.0179524	0.0738421	0.282487	0.166431	0.386402
217	0.0757317	0.0557109	0.186835	0.268749	0.226139	0.186834
218	0.0827682	0.115752	0.0969793	0.267007	0.133081	0.304412
219	0.171806	0.098518	0.184098	0.119545	0.266932	0.159101
220	0.0260407	0.00871146	0.144673	0.545724	0.158231	0.11662
221	0.147444	0.0554867	0.118305	0.355633	0.131149	0.191983
222	0.0176578	0.0435821	0.134004	0.410899	0.046785	0.347072
223	0.0487292	0.032672	0.225046	0.174252	0.196918	0.322383
224	0.0849506	0.0539098	0.0833037	0.27554	0.243356	0.25894
225	0.037288	0.0298689	0.459343	0.0695543	0.264974	0.138973
226	0.184376	0.0575319	0.129561	0.131359	0.155669	0.341504
227	0.138152	0.0806892	0.138567	0.31115	0.103147	0.228294
228	0.0361386	0.0169003	0.346816	0.171166	0.0870432	0.341936
229	0.0487459	0.0117646	0.0882316	0.582644	0.0419633	0.226651
230	0.0302007	0.00427614	0.0900875	0.256722	0.38938	0.229333
231	0.0844016	0.0408982	0.254137	0.235627	0.150834	0.234103
232	0.0328981	0.0563433	0.12294	0.30159	0.150387	0.335841
233	0.0732139	0.0203169	0.182445	0.299761	0.12245	0.301813
234	nan	nan	nan	nan	nan	nan
235	0.131458	0.0647516	0.315834	0.10483	0.243878	0.139249
236	0.187299	0.0760949	0.229457	0.205363	0.129441	0.172345
237	0.169484	0.0848125	0.201196	0.0817992	0.297647	0.165061
238	0.134422	0.151494	0.184691	0.143265	0.229778	0.15635
239	0.0340024	0.0225457	0.07655	0.509347	0.051838	0.305717
240	0.155078	0.0681597	0.232422	0.211173	0.142674	0.190494
241	0.0993102	0.0368358	0.0960699	0.238151	0.114276	0.415357
242	0.0541987	0.0333747	0.0489668	0.585921	0.0834333	0.194106
243	0.326857	0.0871259	0.187667	0.0667047	0.175991	0.155654
244	0.054418	0.040148	0.186128	0.344452	0.161219	0.213636
245	0.168189	0.213643	0.177776	0.099081	0.158509	0.182802
246	0.0607659	0.115266	0.0694811	0.312693	0.184857	0.256937
247	0.000277327	0.000255642	0.0102723	0.839558	0.0294802	0.120157
248	0.144886	0.0538929	0.0944823	0.0893151	0.146848	0.470575
249	0.107121	0.133861	0.0643355	0.320227	0.117693	0.256763
250	0.0178125	0.061903	0.0887005	0.311188	0.11764	0.402757
251	0.112044	0.015356	0.0939414	0.298666	0.198537	0.281456
252	0.0586601	0.0147081	0.181384	0.307721	0.232862	0.204665
253	0.0419662	0.0664925	0.0732562	0.32793	0.273497	0.216858
254	0.0642815	0.0820639	0.170202	0.28916	0.139872	0.25442
255	0.147829	0.0868457	0.204605	0.204015	0.15759	0.199117
256	0.073876	0.0882637	0.21504	0.0254979	0.413947	0.183375
257	0.0140054	0	0.126346	0.0872912	0.492251	0.280107
258	0.125192	0.176469	0.119949	0.0910693	0.171831	0.315489
259	0.0748736	0.109132	0.253209	0.132589	0.274762	0.155434
260	0.0701049	0.0970797	0.114299	0.248521	0.151518	0.318478
261	0.0450151	0.0981888	0.0491349	0.206272	0.246439	0.354951
262	0.100127	0.140743	0.163106	0.117916	0.16611	0.311997
263	0.0721501	0.0280859	0.111539	0.323762	0.140241	0.324222
264	0.0277682	0.0193322	0.0656098	0.365283	0.212092	0.309914
265	0.181107	0.0339548	0.0982889	0.0861391	0.206566	0.393943
266	0.00506538	0.0748999	0.0192178	0.219984	0.0708247	0.610008
267	0.169009	0.132171	0.199655	0.114589	0.287947	0.0966278
268	0.171812	0.177988	0.160096	0.065316	0.133565	0.291222
269	0.0830874	0.0878104	0.0810384	0.210046	0.280577	0.257441
270	0.161229	0.0405264	0.250881	0.198118	0.224757	0.124489
271	0.219952	0.12999	0.19442	0.229692	0.150247	0.0756991
272	0.0355011	0.020592	0.171496	0.301305	0.282866	0.188241
273	0.183055	0.0887565	0.264392	0.0992144	0.278304	0.0862781
274	0.111433	0.0672246	0.24073	0.285123	0.123895	0.171595
275	0.0260672	0.0460172	0.105907	0.504335	0.0925969	0.225077
276	0.184613	0.157884	0.243269	0.147125	0.207608	0.0595013
277	0.0642953	0.0239684	0.0886891	0.520084	0.0693792	0.233584
278	0.105643	0.0168398	0.168202	0.208853	0.293786	0.206676
279	0.145206	0.0301484	0.265697	0.139742	0.213237	0.20597
280	0.215495	0.174626	0.257493	0.0454763	0.185438	0.121472
281	0.0649924	0.00129957	0.271936	0.0540108	0.492185	0.115577
282	0.0279055	0.0594052	0.173861	0.287845	0.244206	0.206777
283	0.203195	0.112326	0.155674	0.103612	0.308066	0.117127
284	0.0955333	0.0668382	0.109731	0.334516	0.195438	0.197944
285	0.0499159	0.0409397	0.128114	0.346336	0.0908034	0.343891
286	0.073074	0.10063	0.268512	0.138484	0.253001	0.166298
287	nan	nan	nan	nan	nan	nan
288	0.0229088	0.0198852	0.132331	0.328932	0.249239	0.246704
289	0.0116678	0.00630102	0.104297	0.283395	0.427805	0.166535
290	0.0140338	0.0231497	0.1123	0.566099	0.11617	0.168249
291	0.0975201	0.0467561	0.0935852	0.266273	0.301114	0.194752
292	0.128245	0.203997	0.129036	0.109046	0.234362	0.195313
293	0.297563	0.0194632	0.297787	0.000517268	0.364553	0.0201163
294	0.0382717	0.0299216	0.177855	0.329251	0.26863	0.156071
295	0.0662888	0.0774741	0.121831	0.187195	0.259799	0.287412
296	0.0520675	0.00951371	0.0735113	0.530588	0.0591982	0.275122
297	0.213139	0.120017	0.289237	0.0531565	0.247501	0.076949
298	0.0369214	0.00912626	0.467217	0.0534272	0.298654	0.134654
299	0.228661	0.101501	0.262366	0.0824609	0.245093	0.0799192
300	0.0994604	0.102462	0.166041	0.056443	0.197579	0.378014
301	0.0639682	0.0286644	0.0841252	0.345814	0.201719	0.275709
302	0.271671	0.0384107	0.305223	0.0839846	0.108919	0.191791
303	0.00935608	0.0440801	0.0591359	0.233645	0.28869	0.365094
304	0.128632	0.0753895	0.197741	0.122257	0.303606	0.172374
305	0.0243435	0.000220216	0.0863648	0.599818	0.236505	0.0527489
306	0.0627737	0.0385006	0.272127	0.289996	0.103943	0.23266
307	0.16771	0.156921	0.162883	0.148103	0.197858	0.166525
308	0.102883	0.0366393	0.0877574	0.456975	0.154604	0.161142
309	0.100842	0.113698	0.368932	0.1247	0.181938	0.109889
310	0.0410159	0.0376683	0.0858706	0.397882	0.275688	0.161875
311	nan	nan	nan	nan	nan	nan
312	0.104728	0.0384852	0.0702808	0.415928	0.105273	0.265305
