textid	anger	disgust	fear	joy	sad	surprise
1	0.0618104	0.111607	0.117847	0.147639	0.182106	0.378991
2	0.0801716	0.104987	0.166638	0.244749	0.19666	0.206795
3	0.037266	0.0217954	0.0933574	0.325687	0.243246	0.278648
4	0.0700972	0.0736222	0.0932172	0.380933	0.107321	0.274809
5	0.090089	0.0589249	0.064005	0.306958	0.160568	0.319455
6	0.048628	0.0857149	0.352167	0.00586501	0.231291	0.276334
7	1.51E-12	6.44E-13	0.0926	0.4444	3.22E-12	0.463
8	0.0729423	0.0184838	0.285154	0.212793	0.236614	0.174012
9	0.00449975	0.1418	0.00464853	0.105713	0.00537188	0.737966
10	0.0769839	0.113952	0.232678	0.193366	0.200276	0.182744
11	0.0879716	0.0301129	0.152154	0.406234	0.104763	0.218765
12	0.206283	0.0158291	0.219052	0.216039	0.0582585	0.284538
13	0.157025	0.0860749	0.300872	0.167405	0.111428	0.177194
14	0.201192	0.0197064	0.120934	0.210196	0.326265	0.121707
15	0.122567	0.0916389	0.559919	0.0299327	0.159998	0.0359445
16	0.196149	0.0750261	0.594589	0.0106812	0.11257	0.0109844
17	0.0754271	0.0630873	0.137361	0.40733	0.116756	0.200037
18	0.0813701	0.0349526	0.151659	0.156255	0.260001	0.315763
19	0.0496497	0.0303464	0.146212	0.313668	0.163257	0.296867
20	0.0565479	0.0433367	0.144902	0.357284	0.167734	0.230196
21	0.0189558	0.00925094	0.0308141	0.710393	0.0287621	0.201824
22	0.0741923	0.0449924	0.0572507	0.364577	0.142874	0.316114
23	0.0201266	0.0110304	0.143526	0.111308	0.41585	0.298159
24	0.117612	2.06E-15	0.0588059	2.31E-14	0.117612	0.705971
25	0.0796394	0.0521014	0.108069	0.335408	0.18246	0.242321
26	0.0570613	0.0470522	0.128495	0.198687	0.302445	0.266259
27	0.0755397	0.0556306	0.161547	0.34201	0.178652	0.186621
28	0.0915968	0.0557312	0.188577	0.203531	0.241828	0.218735
29	0.119607	0.0586815	0.200093	0.213026	0.191603	0.216989
30	0.023911	0.0273309	0.118676	0.546678	0.105153	0.17825
31	0.0515972	0.0397159	0.0928242	0.45012	0.136218	0.229524
32	0.082302	0.0672669	0.201546	0.248489	0.204783	0.195613
